"Hackathon Name","Link","Organisation","Locality","Experience","Description","Registration Date","Submission Date","Team Number","Genre","Image Link","Prizes","Notes","Ranking","Team","Winners","Product"
"DSC Solution Challenge 2021","https://developers.google.com/community/dsc-solution-challenge","Google","International","Advanced","The Google Developer Student Clubs - 2021 Solution Challenge mission is to solve for one or more of the United Nations 17 Sustainable Development Goals using Google technology.","2021-03-30T16:00:00.000Z","2021-03-30T16:00:00.000Z","1-5","Software Development","dsc2021.png"
"The Data Open 2021","https://www.citadel.com/careers/the-data-open/apply/?apply_to=apac-datathon-spring-2021","Citadel","Regional","Advanced","Citadel is proud to present The Data Open, a datathon competition taking place throughout the year at a series of top universities. At each event, participants work in teams to work through a large and complex dataset and then present their findings to a panel of judges.

","2021-03-21T16:00:00.000Z","2021-03-21T16:00:00.000Z","1","Quant","dataopen2021.png"
"Shopee Code League 2021","https://careers.shopee.sg/codeleague/","Shopee","Singapore","Beginner","Shopee Code League is a 3-week coding challenge consisting of 3 coding competitions open to all students and professionals across the region.

The competitions, specially designed by the Shopee tech teams, cover data analytics, data science and algorithmic problems. Participants must analyse the datasets, draw insightful conclusions and solve the problems in a specified amount of time.
","2021-03-05T16:00:00.000Z","2021-03-05T16:00:00.000Z","2-4","Data Science","shopeecodeleague2021.png"
"AIfinity Hackathon","https://tinyurl.com/AIfinity-signup","MLDA / NTU","Singapore","Beginner","Want to apply Machine Learning and Artificial Intelligence in cool ideas and meaningful projects?
Join AIfinity, an 24-hour virtual Hackathon organized by MLDA@EEE, to push the boundaries of Machine Learning and Artificial Intelligence!
","2021-03-03T16:00:00.000Z","2021-03-04T16:00:00.000Z","2-4","Machine Learning","AIfinity2021.png"
"iNTUition V7.0","https://intuition.ieeentu.com/","IEEE / NTU","Singapore","Beginner","IEEE NTU Student Branch is pleased to announce the latest edition of its flagship 24-hour hackathon- iNTUition v7.0! iNTUition is one of the largest student-run hackathons across South-East Asia, offering today’s technologically savvy youth the opportunity to springboard their ideas from conceptualisation to reality! We'll be hosting it virtually 💻 this year, on 27-28 February 2021 🗓️.","2021-02-26T16:00:00.000Z","2021-02-27T16:00:00.000Z","3-4","Product Development","intuition2021.png"
"DSO-NUS CTF 2021
","https://www.ctf-dso.ncl.sg/","DSO","Singapore","Advanced","DSO-NUS CTF 2021 is a cybersecurity Capture-The-Flag challenge open to all students from local tertiary institutions, jointly organised by DSO National Laboratories and NUS Computing.

The CTF challenges are designed to teach fundamental principles and skills in malware/binary reverse-engineering for a practical or applied R&D career in cybersecurity.

","2021-02-25T16:00:00.000Z","2021-02-26T16:00:00.000Z","1-2","CyberSecurity","dsoctf2021.png"
"Google Hashcode 2021","https://codingcompetitions.withgoogle.com/hashcode","Google","International","Advanced","Hash Code is a team programming competition, organized by Google, for students and professionals around the world. You pick your team and programming language and we pick an engineering problem for you to solve. This year’s contest kicks off with an Online Qualifications, where your team can compete virtually from wherever you’d like, alongside your virtual Hub. Top teams will then be invited to compete from our virtual World Finals.

","2021-02-21T16:00:00.000Z","2021-02-24T16:00:00.000Z","2-4","Algorithm","hashcode2021.png"
"Microsoft Azure Virtual Hackathon 2021
","https://discover-ai-with-microsoft.agorize.com/en/challenges/msazurevirtualhack-2021?","Microsoft","Regional","Advanced","With unprecedented amounts of data being collected every second across the globe, there is an almost infinite amount of data available to tap into to derive useful insights for crucial decision making across industries.

MICROSOFT is challenging you to provide innovative solutions in advanced data analytics and AI for a number of booming industries! Join individually or team up in groups of up to 4 members to submit your solutions now!

","2021-02-21T16:00:00.000Z","2021-02-21T16:00:00.000Z","1-4","Data Analytics","azurehack2021.png"
"IdeasJam 2021","https://www.instagram.com/ideasjam_ntu/","NTU@EEE","Singapore","Beginner","Dream no more, it's time to turn your ideas into reality with IdeasJam2021! Form teams of 3-5 pax during the event, and exchange ideas with 15 renowned industry mentors and 5 specially invited guests on our judging panel. Together with a series of specially curated workshops, we will teach and show you what it takes to start up from a simple idea to taking it off into the market! Take this as an opportunity to learn, connect, and work with like-minded individuals, and stand a chance to win attractive prizes.","2021-01-20T16:00:00.000Z","2021-01-22T16:00:00.000Z","3-5","Product Development","ideasjam2021.png"
"Dyson-NTU Innovation Challenge 2021","https://airtable.com/shrPOaK3NWE5dYJjY","Dyson","Singapore","Intermediate","Have an idea or interest to raise the roof to urban farming or our day-to-day lives? Let your idea be nurtured with mentoring and workshops at the Dyson-NTU Innovation Challenge and stand a chance to win cash prizes and prototyping funds!

Open to all NTU undergraduate and postgraduate students.","2021-01-19T16:00:00.000Z","TBC","2-5","Engineering","dyson2021.jpg"
"ASEAN-India Hackathon 2021","https://india-asean.mic.gov.in/","Ministry of Education, India","Regional","Advanced","The ASEAN-INDIA Hackathon, an initiative by the Hon’ble Prime Minister of India Mr. Narendra Modi, is proposed to be a 36 hours Hackathon which will offer unique opportunities to all 10 ASEAN countries (Indonesia, Malaysia, Philippines, Singapore, Thailand, Brunei, Laos, Myanmar, Cambodia and Vietnam) and India to forward their economic development through collaboration in education, science and technology, exchange of thoughtful leadership, work and collaboration on projects involving varied skilled individuals to develop cross country bonds and learn from each other’s strengths and also get acquainted with each other’s culture, values and work ethics.
","2020-12-14T16:00:00.000Z","2021-02-02T16:00:00.000Z","6","Software Development","ASEAN-India-2021.png"
"Shopee UltraHackathon 2021","https://careers.shopee.sg/ultrahackathon/","Shopee","Singapore","Beginner","Shopee believes that online shopping should be accessible, easy and enjoyable. This is the vision Shopee aspires to deliver on our platform, every single day.

To become the top ecommerce platform in the region, we believe that having a strong technical team is key. In Shopee Ultra-Hackathon 2021, we are looking for talented and enthusiastic developers across the region to come together to ideate and build a better platform for millions of users across the region!

We would love to work with the best minds to make the Shopee platform better than ever.

","2020-11-14T16:00:00.000Z","2021-01-30T16:00:00.000Z","3-5","Software Development","shopeeultra2021.png"
"Google Codejam 2021","https://codingcompetitions.withgoogle.com/codejam","Google","International","Advanced","Code Jam is Google's longest running global coding competition, where programmers of all levels put their skills to the test. Competitors work their way through a series of online algorithmic puzzles to earn a spot at the World Finals, all for a chance to win the championship title and $15,000.
","2021-03-26T16:00:00.000Z","2021-03-26T16:00:00.000Z","1","Algorithm","codejam2021.png"
"Innolympics 2021","https://www.innolympics.io/","NCS","Singapore","Advanced","The inaugural NCS Innolympics is an annual tournament for Asia’s leading innovators to display their problem-solving prowess in a tournament of mental agility and creativity for maximum positive social impact. At NCS we're huge fans of innovating to solve problems for the greater good.
","2021-02-27T16:00:00.000Z","2021-03-26T16:00:00.000Z","3-6","Innovation","ncs_innolympics2021.png"
"Hack For Good 2021","https://dsc.comp.nus.edu.sg/hack4good","DSC NUS","Singapore","Beginner","DSC SoC presents Hack For Good,a  student-run  hackathon  whichseeks to inspire students to learnand  use  technology  for  socialcauses. Our innovation challengeis  unique  in  that  we  are  posingreal problem statements providedby NPOs in Singapore.","2021-03-04T16:00:00.000Z","2021-03-16T16:00:00.000Z","1-4","Software Development","hackforgood2021.png"
"2021 Better Working World Data Challenge","https://datascience.ey.com/challenges","Ernst & Young","International","Intermediate","In close partnership with Microsoft, the 2021 Better Working World Data Challenge is aimed at attracting students with an interest in making a real-world impact. The Challenge is a global 12-week challenge for students with an interest in data science, culminating in an awards ceremony with cash prizes for winners.

Participants will use satellite data supplied by NASA to help tackle climate change and the fight against bushfires using applied AI. The solutions from the Challenge will help to reduce fatalities, damage and trauma by allowing fire authorities to answer critical questions, such as who they need to warn and what locations need to be evacuated.","2021-03-23T16:00:00.000Z","2021-06-14T16:00:00.000Z","1-4","Data Science","ey2021.jpg"
"2021 UAiTED Innovation Competition","https://uaited.ust.edu.tw/eventsession/cont?sid=0K079590017163884959","UAiTED","Regional","Intermediate","The 2021 UAiTED Innovation Competition is designed to:
Leverage high-tech innovation to facilitate ideas and solutions for problems related to some categories among the 17 Sustainable Development Goals (SDGs) announced by the United Nations (UN).
Facilitate cross-regional, multicultural, and interdisciplinary global talent development.","2021-04-03T16:00:00.000Z","2021-04-03T16:00:00.000Z","4-6","Innovation","uaited.jpg"
"CODE_EXP 2021","https://www.dsta.gov.sg/brainhack","DSTA","Singapore","Beginner","Harness the power of mobile app technologies to tackle some of the biggest challenges we face today! Form teams to design and develop solutions that leverage hybrid mobile application and cloud technologies and compete in this exciting hackathon. Online training will be provided on the afternoons of 7, 8, 10 and 11 June to ensure you have an engaging and fruitful Hackathon experience.","2021-05-13T16:00:00.000Z","2021-05-13T16:00:00.000Z","4-5","Mobile App Development","codeexp.png"
"Cyber Defenders Discovery Camp 2021","https://www.dsta.gov.sg/brainhack","DSTA","Singapore","Beginner","Put your cybersecurity skills to the test! Take part in an exhilarating 48-hour team Jeopardy-style Capture-The-Flag competition from 23 to 25 June.

","2021-05-30T16:00:00.000Z","2021-05-30T16:00:00.000Z","4","Capture-The-Flag (CTF)","CDDC.png"
"XRperience 2021","https://www.dsta.gov.sg/brainhack","DSTA","Singapore","Intermediate","Come experience the possibilities enabled by eXtended Reality (XR) – from hands-on creation of XR content to developing XR solutions for real use cases. Featuring hands-on workshops and a competition, XR will definitely captivate your attention.
","2021-05-30T16:00:00.000Z","2021-05-30T16:00:00.000Z","1-5","Extended Reality","XR2021.png"
"Hack Alliance 2021","https://www.tinyurl.com/hackalliance2021","Dell x NTU","Singapore","Intermediate","NTU CoE and Dell are organising a university-wide hackathon, spanning across eight weeks between 14 May to 23 July. This is YOUR chance to attain product management and business communication skills from product ideation and development to marketing. You will also be under the guidance of industry mentors from Dell through the entire journey. All you need to do is form a team of five with at least one member each from business, engineering, and any other discipline.","2021-05-06T16:00:00.000Z","2021-05-06T16:00:00.000Z","5","Product Development","hackalliance.png"
"Lifesavers' Innovation Challenge 2021","https://www.scdf.gov.sg/scdf_innovation_challenge/About","SCDF x IBM","Singapore","Intermediate","We are looking for innovative solutions that can radically improve our society’s readiness to respond. Participants would present an innovative business idea, integrating the use of AI, ML and IoT capabilities from IBM cloud, to craft their response to one of the problem statements.

","2021-05-28T16:00:00.000Z","2021-06-10T16:00:00.000Z","5","Innovation","scdfxibm.png"
"SDG Open Hack Singapore 2021","https://www.ggef.com/sdgopenhack","GGEF","Singapore","Advanced","The SDG Open Hack is an atypical hackathon that promotes innovation & entrepreneurship, cultivates leadership, creativity, mobility, international competence, and teamwork ability.

It is open to university students, encourages cross universities and disciplines to form a team to solve societal and/or environmental challenges, by way of learning UN 17 SDGs. ","2021-05-14T16:00:00.000Z","2021-05-21T16:00:00.000Z","1","Solution Development","ggef2021.png"
"Starburst x NTU NTC Hackathon","https://www.ntu.edu.sg/ntc/starburst-ntc-hackathon","Starburst x NTU","NTU Only","Beginner","Innovation is at the heart of everything and it is an essential skill for the 21st century. In collaboration with Starburst Aerospace, Nanyang Technopreneurship Center (NTC) will be launching a hackathon for students to work with companies to bring forth exciting innovations and concrete ideas for our aviation industry. As the first and only global aerospace accelerator, Starburst is an innovation catalyst in the space, aviation and defense industry. They assist teams made up of entrepreneurs and scientists to transform their ideas into marketable products.","2021-05-10T16:00:00.000Z","2021-06-20T16:00:00.000Z","1-4","Innovation","starburst2021.png"
"Data Mover Challenge 2021","https://www.nscc.sg/data-mover-challenge-2021/","NSCC","International","Advanced","The international Data Mover Challenge (DMC) is an annual competition that aims to bring together experts from industry and academia in a bid to test their software and solutions for transferring huge amounts of research data. DMC seeks to challenge international teams to come up with the most advanced and innovative solutions for data transfer across servers located in various countries that are connected by 100Gbps international research and education networks.
","2021-06-29T16:00:00.000Z","2021-10-30T16:00:00.000Z","1+","High-Performance Computing","datamover2021.png"
